TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.draw.figure.TriangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.857417521,588,475,42,21,0.8828125,0.759259259,0.671052632,1.11111E+53,38,137,0.382113821
org.jhotdraw.draw.figure.TextAreaFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.753939089,1148,827,86,43,0.784688995,0.626086957,0.403409091,1.1111E+114,52,139,0.332599119
org.jhotdraw.draw.figure.RoundRectangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.892301003,658,557,8,4,0.920454545,0.857142857,0.773333333,1.11111E+27,40,131,0.274038462
org.jhotdraw.draw.figure.LabeledLineConnectionFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.737315686,806,552,84,42,0.797752809,0.653465347,0.381355932,1.11111E+98,62,191,0.461904762
org.jhotdraw.draw.figure.EllipseFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.954337578,427,389,8,4,1,1,0.737704918,1.11111E+19,33,167,0.321285141
org.jhotdraw.draw.figure.AbstractFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.65540559,1223,658,104,52,0.694581281,0.528169014,0.330188679,1.1111E+141,61,171,0.174081238
org.jhotdraw.draw.figure.AbstractCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.707397051,1484,957,152,76,0.707006369,0.585635359,0.308900524,1.1111E+180,97,326,0.334801762
org.jhotdraw.draw.figure.AbstractAttributedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.520063844,613,229,68,34,0.426229508,0.291139241,0.493150685,1.11111E+78,28,80,0.193396226
org.jhotdraw.draw.figure.AbstractAttributedDecoratedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.623955768,256,142,18,9,0.593220339,0.6,0.402985075,1.10111E+24,18,50,0.127659574
org.jhotdraw.draw.figure.AbstractAttributedCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.518281666,570,243,74,37,0.476190476,0.289156627,0.406779661,1.11101E+80,25,99,0.233128834
