TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.draw.figure.TriangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.852811184,589,469,40,20,0.856060606,0.75862069,0.684210526,1.111E+57,42,140,0.300429185
org.jhotdraw.draw.figure.TextAreaFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.778113985,1214,882,86,43,0.79342723,0.658119658,0.488636364,1.1111E+116,58,169,0.365234375
org.jhotdraw.draw.figure.RoundRectangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.904736783,673,583,8,4,0.946808511,0.870967742,0.746666667,1.11101E+30,41,138,0.23923445
org.jhotdraw.draw.figure.LabeledLineConnectionFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.773652185,848,641,82,41,0.882352941,0.742574257,0.305084746,1.11111E+98,59,191,0.468879668
org.jhotdraw.draw.figure.EllipseFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.945586137,437,396,8,4,1,0.954545455,0.770491803,1.11111E+21,34,127,0.294820717
org.jhotdraw.draw.figure.AbstractFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.751573431,1296,875,100,50,0.79253112,0.685314685,0.396226415,1.0111E+142,73,213,0.25136612
org.jhotdraw.draw.figure.AbstractCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.71087819,1524,971,152,76,0.745341615,0.584699454,0.361256545,1.1111E+182,104,359,0.278008299
org.jhotdraw.draw.figure.AbstractAttributedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.493412964,624,227,68,34,0.427419355,0.275,0.369863014,1.11111E+79,26,80,0.192488263
org.jhotdraw.draw.figure.AbstractAttributedDecoratedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.734344572,266,179,18,9,0.746031746,0.777777778,0.447761194,1.11101E+26,22,67,0.29787234
org.jhotdraw.draw.figure.AbstractAttributedCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.533322795,575,261,74,37,0.5078125,0.357142857,0.372881356,1.11101E+81,25,101,0.237804878
org.jhotdraw.draw.figure.QuadTreeCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.17106581798483206,728,24,116,58,0.04929577464788732,0.038461538461538464,0.0,1111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,27,0.0
org.jhotdraw.draw.figure.TextFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8318078818582851,738,519,32,16,0.8709677419354839,0.8709677419354839,0.44711538461538464,11111111111111111111111111111110001011111011111111010111110111,57,157,0.3951219512195122
